"id";"region_id";"region_title";"region_city";"all_region";"start";"end";"clean_end";"intersection_alarm_id"
"2";"3";"Вінниччина";"Вінниця";"0";"2022-02-25 22:55:42";"2022-02-25 23:41:53";"2022-02-25 23:41:53";NULL
"4";"12";"Львівщина";"Львів";"0";"2022-02-26 06:26:17";"2022-02-26 07:15:28";"2022-02-26 07:15:28";NULL
"5";"14";"Одещина";"Одеса";"0";"2022-02-26 07:16:58";"2022-02-26 07:47:03";"2022-02-26 07:47:03";NULL
"6";"6";"Житомирщина";"Житомир";"0";"2022-02-26 08:05:54";"2022-02-26 09:36:36";"2022-02-26 09:36:36";NULL
"7";"3";"Вінниччина";"Вінниця";"0";"2022-02-26 08:39:39";"2022-02-26 10:42:41";"2022-02-26 10:42:41";NULL
"9";"3";"Вінниччина";"Вінниця";"0";"2022-02-26 10:58:23";"2022-02-26 11:59:40";"2022-02-26 11:59:40";NULL
"10";"12";"Львівщина";"Львів";"0";"2022-02-26 13:44:44";"2022-02-26 14:27:25";"2022-02-26 14:27:25";NULL
"3";"16";"Рівненщина";"Рівненська обл.";"1";"2022-02-26 15:54:53";"2022-02-26 16:14:46";"2022-02-26 16:14:46";NULL
"1";"2";"Волинь";"Волинська обл.";"1";"2022-02-26 16:08:26";"2022-02-26 16:39:26";"2022-02-26 16:39:26";NULL
"11";"21";"Хмельниччина";"Деражня";"0";"2022-02-26 16:10:29";"2022-02-26 17:19:57";"2022-02-26 17:19:57";NULL
"12";"3";"Вінниччина";"Вінниця";"0";"2022-02-26 16:48:36";"2022-02-26 17:15:37";"2022-02-26 17:15:37";NULL
"13";"18";"Тернопільщина";"Тернопіль";"0";"2022-02-26 17:28:36";"2022-02-26 19:16:19";"2022-02-26 19:16:19";NULL
"14";"12";"Львівщина";"Львів";"0";"2022-02-26 20:09:41";"2022-02-26 20:44:46";"2022-02-26 20:44:46";NULL
"15";"8";"Запоріжжя";"Запоріжжя";"0";"2022-02-27 06:56:06";"2022-02-27 09:35:49";"2022-02-27 09:35:49";NULL
"16";"18";"Тернопільщина";"Тернопіль";"0";"2022-02-27 08:16:55";"2022-02-27 09:12:31";"2022-02-27 09:12:31";NULL
"17";"16";"Рівненщина";"Рівненська обл.";"1";"2022-02-27 08:40:20";"2022-02-27 09:15:50";"2022-02-27 09:15:50";NULL
"18";"3";"Вінниччина";"Вінниця";"0";"2022-02-27 10:48:03";"2022-02-27 11:07:09";"2022-02-27 11:07:09";NULL
"19";"3";"Вінниччина";"Вінниця";"0";"2022-02-27 12:48:57";"2022-02-27 13:40:29";"2022-02-27 13:40:29";NULL
"20";"3";"Вінниччина";"Вінниця";"0";"2022-02-27 14:38:01";"2022-02-27 14:54:57";"2022-02-27 14:54:57";NULL
"21";"5";"️Донеччина";"Маріуполь";"0";"2022-02-27 14:49:52";"2022-02-27 20:39:28";"2022-02-27 20:39:28";NULL
"22";"8";"Запоріжжя";"Запоріжжя";"0";"2022-02-27 14:54:14";"2022-02-27 15:02:58";"2022-02-27 15:02:58";NULL
"23";"4";"Дніпропетровщина";"Дніпро";"0";"2022-02-27 14:59:18";"2022-02-27 15:40:20";"2022-02-27 15:40:20";NULL
"25";"3";"Вінниччина";"Вінниця";"0";"2022-02-27 16:00:22";"2022-02-27 16:38:12";"2022-02-27 16:38:12";NULL
"26";"6";"Житомирщина";"Житомир";"0";"2022-02-27 17:16:10";"2022-02-27 18:00:47";"2022-02-27 18:00:47";NULL
"27";"3";"Вінниччина";"Вінниця";"0";"2022-02-27 17:17:58";"2022-02-27 17:40:38";"2022-02-27 17:40:38";NULL
"28";"16";"Рівненщина";"Рівненська обл.";"1";"2022-02-27 17:18:19";"2022-02-27 18:06:05";"2022-02-27 18:06:05";NULL
"29";"18";"Тернопільщина";"Тернопільська обл.";"1";"2022-02-27 17:51:46";"2022-02-27 20:23:14";"2022-02-27 20:23:14";NULL
"30";"2";"Волинь";"Волинська обл.";"1";"2022-02-27 17:52:22";"2022-02-27 18:11:37";"2022-02-27 18:11:37";NULL
"31";"21";"Хмельниччина";"Хмельницький";"0";"2022-02-27 17:54:46";"2022-02-27 18:13:06";"2022-02-27 18:13:06";NULL
"32";"4";"Дніпропетровщина";"Дніпро";"0";"2022-02-27 18:16:31";"2022-02-27 18:20:28";"2022-02-27 18:20:28";NULL
"33";"14";"Одещина";"Одеса";"0";"2022-02-27 18:52:33";"2022-02-27 19:14:38";"2022-02-27 19:14:38";NULL
"34";"6";"Житомирщина";"Житомир";"0";"2022-02-27 18:59:21";"2022-02-27 19:22:07";"2022-02-27 19:22:07";NULL
"35";"16";"Рівненщина";"Рівненська обл.";"1";"2022-02-27 19:15:38";"2022-02-27 19:43:34";"2022-02-27 19:43:34";NULL
"36";"2";"Волинь";"Волинська обл.";"1";"2022-02-27 19:21:33";"2022-02-27 19:53:04";"2022-02-27 19:53:04";NULL
"38";"12";"Львівщина";"Львів";"0";"2022-02-27 19:34:38";"2022-02-27 19:55:38";"2022-02-27 19:55:38";NULL
"39";"4";"Дніпропетровщина";"Дніпро";"0";"2022-02-27 19:41:46";"2022-02-27 20:27:24";"2022-02-27 20:27:24";NULL
"40";"8";"Запоріжжя";"Запоріжжя";"0";"2022-02-27 19:45:00";"2022-02-27 20:44:39";"2022-02-27 20:44:39";NULL
"41";"12";"Львівщина";"Трускавець";"0";"2022-02-27 19:51:41";"2022-02-27 19:52:49";"2022-02-27 19:52:49";NULL
"42";"21";"Хмельниччина";"Хмельницький";"0";"2022-02-27 19:53:29";"2022-02-27 20:37:20";"2022-02-27 20:37:20";NULL
"43";"10";"Кіровоградщина";"Кропивницький";"0";"2022-02-27 19:56:20";"2022-02-27 20:05:12";"2022-02-27 20:01:14";"45"
"44";"3";"Вінниччина";"Вінниця";"0";"2022-02-27 19:56:35";"2022-02-27 20:34:05";"2022-02-27 20:34:05";NULL
"45";"10";"Кіровоградщина";"Кіровоградська обл.";"1";"2022-02-27 20:01:14";"2022-02-27 20:32:07";"2022-02-27 20:32:07";NULL
"46";"9";"Київщина";"Київ";"0";"2022-02-27 20:03:04";"2022-02-27 21:35:15";"2022-02-27 21:35:15";NULL
"47";"8";"Запоріжжя";"Запоріжжя";"0";"2022-02-27 21:14:00";"2022-02-28 00:28:24";"2022-02-28 00:28:24";NULL
"48";"4";"Дніпропетровщина";"Дніпро";"0";"2022-02-27 21:31:34";"2022-02-27 22:04:33";"2022-02-27 22:04:33";NULL
"49";"3";"Вінниччина";"Вінниця";"0";"2022-02-27 22:50:04";"2022-02-27 23:08:44";"2022-02-27 23:08:44";NULL
"50";"6";"Житомирщина";"Житомир";"0";"2022-02-27 22:50:37";"2022-02-28 00:27:30";"2022-02-28 00:27:30";NULL
"52";"3";"Вінниччина";"Вінниця";"0";"2022-02-27 23:54:40";"2022-02-28 00:11:41";"2022-02-28 00:11:41";NULL
"53";"23";"Чернігівщина";"Чернігів";"0";"2022-02-28 01:26:43";"2022-02-28 01:56:29";"2022-02-28 01:56:29";NULL
"54";"3";"Вінниччина";"Вінниця";"0";"2022-02-28 01:41:04";"2022-02-28 02:00:56";"2022-02-28 02:00:56";NULL
"55";"23";"Чернігівщина";"Чернігів";"0";"2022-02-28 04:19:34";"2022-02-28 04:36:34";"2022-02-28 04:36:34";NULL
"56";"23";"Чернігівщина";"Чернігів";"0";"2022-02-28 07:15:34";"2022-02-28 07:35:45";"2022-02-28 07:35:45";NULL
"57";"3";"Вінниччина";"Вінниця";"0";"2022-02-28 07:19:05";"2022-02-28 07:40:36";"2022-02-28 07:40:36";NULL
"58";"6";"Житомирщина";"Житомир";"0";"2022-02-28 07:20:28";"2022-02-28 07:42:44";"2022-02-28 07:42:44";NULL
"59";"22";"Черкащина";"Черкаси";"0";"2022-02-28 07:22:07";"2022-02-28 09:55:04";"2022-02-28 09:55:04";NULL
"60";"4";"Дніпропетровщина";"Дніпро";"0";"2022-02-28 07:24:51";"2022-02-28 07:34:01";"2022-02-28 07:34:01";NULL
